Index,IBM.Close,JNJ.Close,NKE.Close,PG.Close,WMT.Close,ibm_r,jnj_r,nke_r,pg_r,wmt_r
2017-02-01,174.289993,113.230003,53.02,87.330002,66.230003,-0.00131883280477485,-1.76589542450145e-4,0.00226582418944332,-0.00308690578401638,-0.00767086556261098
2017-02-02,174.580002,113.57,52.799999,87.760002,66.699997,0.00166256239262719,0.00299821208286133,-0.00415802908805762,0.00491176942912119,0.00707133015048544
2017-02-03,175.820007,113.639999,52.360001,87.410004,66.5,0.00707768347320759,6.16161282714245e-4,-0.00836821163257451,-0.00399610040264964,-0.00300296028225766
2017-02-06,175.860001,113.400002,52.799999,87.400002,66.400002,2.27445400719617e-4,-0.00211413925593273,0.00836821163257451,-1.14432808965503e-4,-0.00150486105893854
2017-02-07,178.460007,113.480003,52.810001,88.010002,66.889999,0.0146762960592834,7.0522744669077e-4,1.89413881827249e-4,0.00695516156562537,0.00735237757752927
2017-02-08,176.169998,113.400002,53.880001,88.330002,67.809998,-0.0129150991101028,-7.0522744669077e-4,0.0200587844472766,0.00362935628899397,0.0136601830211767
2017-02-09,177.210007,114.080002,55.310001,88.669998,69.080002,0.00588608290203219,0.00597856526720619,0.0261943719845736,0.00384176743696862,0.0185556350288412
2017-02-10,178.679993,115.239998,56.220001,87.970001,68.019997,0.00826094781932607,0.0101169186636998,0.0163188411791504,-0.00792573220427784,-0.0154635467560436
2017-02-13,179.360001,115.879997,56.09,88.309998,67.769997,0.00379850759149303,0.00553825415105624,-0.0023150397454037,0.00385747020112426,-0.00368216059372717
2017-02-14,180.130005,116.360001,56.450001,87.860001,68.660004,0.00428387529396801,0.0041336952087212,0.0063977647902167,-0.00510867890384237,0.0130472714069816
2017-02-15,181.679993,117.199997,56.639999,91.120003,68.690002,0.00856801907482296,0.00719300932462286,0.00336012341963432,0.0364327021331663,4.368110544819e-4
2017-02-16,181.429993,118.080002,56.290001,90.790001,68.870003,-0.00137699346832232,0.00748052624418882,-0.00619851448901709,-0.003628193664448,0.00261705577482729
2017-02-17,180.669998,118.860001,56.75,91.089996,69.370003,-0.00419771408376857,0.00658396056194288,0.00813873912043217,0.00329882644600854,0.00723382752663237
2017-02-21,180.259995,119.660004,57.360001,91.669998,71.449997,-0.00227192632537765,0.0067080830381574,0.0106915573636046,0.00634716531219226,0.0295433217449022
2017-02-22,181.149994,119.519997,58.240002,91.440002,71.709999,0.0049251588288115,-0.00117072510582616,0.0152252245039728,-0.00251210879747443,0.00363233156095522
2017-02-23,181.649994,121.699997,57.389999,91.129997,71.309998,0.00275634141729419,0.0180752790585954,-0.0147023835334572,-0.00339601577079041,-0.00559365195577222
2017-02-24,181.350006,122.730003,57.860001,91.050003,72.389999,-0.00165282682255175,0.0084278697106166,0.0081562621354534,-8.78186465484987e-4,0.0150316124973324
2017-02-27,179.399994,122.400002,57.689999,90.889999,71.739998,-0.0108109826342266,-0.00269245863522283,-0.0029424858963143,-0.00175886599417741,-0.00901971026530113
2017-02-28,179.820007,122.209999,57.16,91.07,70.93,0.00233847330456438,-0.00155351815082216,-0.00922947787310502,0.00197846845135885,-0.0113549690116903
2017-03-01,181.949997,123.860001,57.950001,91.660004,70.449997,0.0117755180856793,0.013411035316274,0.0137262339803499,0.00645768114078749,-0.00679027945269972
2017-03-02,180.529999,123.629997,57.799999,90.910004,70.760002,-0.00783494416080099,-0.00185869383066617,-0.00259182866472241,-0.00821607258718871,0.00439070179484435
2017-03-03,180.050003,123.790001,56.700001,90.5,70.029999,-0.00266235665239911,0.00129337986903533,-0.0192145300069031,-0.00452019942744553,-0.0103701901683086
2017-03-06,180.470001,123.709999,56.77,90.370003,69.879997,0.00232995775737166,-6.46480830596374e-4,0.00123378881224401,-0.00143746359515973,-0.00214426505271526
2017-03-07,180.380005,123.830002,56.549999,90.290001,69.870003,-4.98800057473048e-4,9.69564586863036e-4,-0.00388283230397146,-8.85663715909146e-4,-1.43026833875126e-4
2017-03-08,179.449997,124.099998,56.509998,90.139999,69.800003,-0.00516916358095365,0.00217800271634339,-7.07606628878032e-4,-0.0016627172261634,-0.00100236275297227
2017-03-09,177.179993,125.949997,56.360001,90.339996,69.860001,-0.0127304753998274,0.0147973028851176,-0.0026578734762257,0.00221627978063399,8.59200944759664e-4
2017-03-10,177.830002,126.209999,56.43,91.07,70.099998,0.00366192352622541,0.00206219936759311,0.00124122720748954,0.00804815563044503,0.00342951181684548
2017-03-13,176.460007,126.68,56.669998,91.309998,69.949997,-0.00773378753926046,0.00371704332320277,0.00424400290843607,0.002631847145115,-0.00214210728616138
2017-03-14,175.720001,127.050003,57.279999,91,70.720001,-0.00420243666455455,0.00291651170848439,0.0107065703048042,-0.00340078220799267,0.0109477742459472
2017-03-15,175.809998,128.960007,57.66,91.400002,70.580002,5.12030280330755e-4,0.0149215996597905,0.00661218701596678,0.00438599382509253,-0.00198158588589692
2017-03-16,177.240005,128.460007,57.599998,91.440002,70.440002,0.00810091946284341,-0.0038847067173986,-0.00104115923063386,4.37541016879095e-4,-0.00198553456279882
2017-03-17,175.649994,128.059998,57.799999,91,69.889999,-0.00901142998862792,-0.0031187378483386,0.00346622539767161,-0.00482353484197162,-0.00783874884012459
2017-03-20,175.699997,128.070007,58.68,91.220001,69.980003,2.84633565495795e-4,7.81556226110425e-5,0.0151101948974874,0.00241467572921295,0.00128696662809258
2017-03-21,173.880005,127.25,58.009998,91.190002,69.900002,-0.0104125432424382,-0.00642338866495606,-0.0114835782736229,-3.28918368259323e-4,-0.00114385195686406
2017-03-22,174.779999,126.260002,53.919998,90.989998,70.25,0.00516259960186538,-0.00781036665082269,-0.0731139454890957,-0.0021956754896415,0.0049946303617876
2017-03-23,174.820007,125.900002,55.369999,90.769997,69.860001,2.28878715606839e-4,-0.0028553318438842,0.026536483262491,-0.00242078690019376,-0.00556705452082706
